trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-32.26553814420572,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-35.695771534295794,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-144.51278140382274,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-98.29972944074954,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-45.8619081901541,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-146.51386621078802,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-86.82257252860752,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-93.48022618880688,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-133.5660009424777,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-63.4570664516157,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-47.16977869847171,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-63.359020674931486,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-34.657875564583534,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-12.664371310188153,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-38.18714740007712,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,-34.67212749599825,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,6,9.431354866644469,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,17,-13.124996887275138,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-40.80711214536037,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-30.570871910172315,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,25.460002315570154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,9,-33.984683383220336,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",30,0,-7.153078589590082,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-19.640729979815323,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,35.86698608021523,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-37.442759890513614,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,19.978546776883434,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,6,-19.506422953036438,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,4,-47.73936087109599,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,6,-22.28651868781417,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
