trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.80737365342821,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,0,-97.07889317297612,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",20,0,-126.07178239721199,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.0625}",25,0,-53.933644005515845,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,0,-21.402880939670304,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",25,0,-135.87162262953598,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,-82.97369263940477,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.015625}",25,0,-42.281413404841686,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,0,-45.398639933930525,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.01}",25,9,-22.754868598404336,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",20,0,-65.51026335256056,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",20,0,-37.630194632979816,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",20,0,-83.44164752540034,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",20,0,-20.103501487213602,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,0,32.200076353112024,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",35,0,-11.459419870005451,"{0: 30, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,0,20.954979017629398,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",20,0,-67.84205713822618,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",25,0,5.19154009214089,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,-63.84998657415356,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",20,0,22.761598698415863,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,2,6.229352500325323,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",25,3,21.02549488874623,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",20,0,0.8295124150829717,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.0016}",25,0,22.042747046400468,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",20,7,13.355442252299937,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",25,0,33.82103427951836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",30,0,-37.90506266295884,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",20,0,-54.46153932562339,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",20,8,17.714002699322045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",20,0,16.647318239441255,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,24.883059159573197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.0009182736455463728}",25,11,-20.305375822929328,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.0008650519031141869}",25,6,21.83022316366248,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.0008163265306122449}",20,0,-19.30794405250025,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.0007716049382716049}",20,0,-83.07805479688868,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.0007304601899196494}",20,0,-14.429391526837183,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.0006925207756232687}",20,0,3.1056037029482826,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
