trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 1.0}",20,7,-49.49879226052759,"{0: 5, 1: 5, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.75, 'e': 0.25}",20,0,-3.1841471722598667,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.1111111111111111}",25,3,-44.70712102639537,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.75, 'e': 0.0625}",25,13,9.834628427382416,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.75, 'e': 0.04}",20,0,13.012224677651549,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.027777777777777776}",30,0,-3.0474854478743487,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.02040816326530612}",20,3,26.3636376270743,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.75, 'e': 0.015625}",20,10,12.421420310428715,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.75, 'e': 0.012345679012345678}",20,6,22.006202757456897,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.75, 'e': 0.01}",20,15,10.0423257805336,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.75, 'e': 0.008264462809917356}",35,0,-5.762605158459718,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.006944444444444444}",20,0,20.87007471037262,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.005917159763313609}",25,13,-21.18794160248421,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.75, 'e': 0.00510204081632653}",25,4,-52.524090271147614,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
